MACEDONIAN STOCK EXCHANGE,,,,,,,,,,
Daily official list No. 209 from 08.11.2024,,,,,,,,,,
Symbol,Avg. price,% chg.,Bid,Ask,Max,Min,Last Trade Price*,Volume,Value in 1000 MKD,Note
Official Market,,,,,,,,,,
Super Listing - Ordinary shares,,,,,,,,,,
Komercijalna banka Skopje,"24,975.96",0.10,"24,900.00","24,995.00","24,999.00","24,900.00","24,900.00",232,"5,794.42",
Exchange Listing - Ordinary shares,,,,,,,,,,
Alkaloid Skopje,"23,193.84",0.85,"23,100.00","23,299.00","23,400.00","23,010.00","23,299.00",64,"1,484.41",
Fersped Skopje,"53,561.00",0.00,,"59,000.00",,,"53,561.00",,0.00,
Granit Skopje,"1,645.87",2.48,"1,630.00","1,700.00","1,650.00","1,630.00","1,650.00",63,103.69,
Internesnal Hotels AD Skopje,"4,005.00",0.00,,,,,"4,005.00",,0.00,
DS Smith AD Skopje,480.00,0.00,,,,,480.00,,0.00,
Makoteks Skopje,20.00,0.00,,,,,20.00,,0.00,
Makosped Skopje,237.00,0.00,,250.00,,,237.00,,0.00,
Hoteli Metropol Ohrid,315.00,0.00,,300.00,,,315.00,,0.00,
Makpetrol Skopje,"85,001.00",-0.84,"85,010.00","85,700.00","85,001.00","85,001.00","85,001.00",10,850.01,C
Makedonijaturist Skopje,"8,000.00",0.00,,"8,000.00",,,"8,000.00",,0.00,
Replek Skopje,"15,096.00",-0.01,"14,646.00","15,096.00","15,096.00","15,096.00","15,096.00",9,135.86,
RZ Inter-Transsped Skopje,20.00,0.00,,,,,20.00,,0.00,
RZ Uslugi Skopje,45.00,0.00,,99.00,45.00,45.00,45.00,"1,000",45.00,
Stopanska banka Bitola,"3,300.00",0.00,,"3,200.00",,,"3,300.00",,0.00,
Skopski Pazar Skopje,"7,000.00",0.00,,,,,"7,000.00",,0.00,
Makstil Skopje,135.00,0.00,134.00,139.00,135.00,135.00,135.00,678,91.53,
Teteks Tetovo,"2,635.00",0.00,,"2,700.00",,,"2,635.00",,0.00,
Tutunski kombinat Prilep,250.00,0.00,,,,,250.00,,0.00,
Vinarska vizba Tikves Kavadarci,"6,600.00",-1.49,,"6,600.00","6,600.00","6,600.00","6,600.00",1,6.60,
TTK Banka AD Skopje,"1,950.00",0.26,,"1,949.00","1,950.00","1,950.00","1,950.00",175,341.25,C
Vitaminka Prilep,"10,101.00",0.00,"10,200.00","13,999.00",,,"10,101.00",,0.00,
Zito Luks Skopje,80.00,0.00,,,,,80.00,,0.00,
ZK Pelagonija Bitola,"3,610.00",0.00,,,,,"3,610.00",,0.00,
Exchange Listing - Preference shares,,,,,,,,,,
Skopski pazar Skopje,"4,000.00",0.00,,,,,"4,000.00",,0.00,
Zito luks Skopje,560.00,0.00,,,,,560.00,,0.00,
Exchange Listing - Bonds,,,,,,,,,,
Centralna kooperativna banka AD Skopje - konvertibilni obvrznici,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2023/19-1125,100.50,0.00,,100.00,,,100.50,,0.00,
R. Makedonija - drzavna obvrznica DO2023/12-0725,99.00,0.00,,,,,99.00,,0.00,
R. Makedonija - drzavna obvrznica DO2021/05-0428,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/06-0428dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/20-0931dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/25-1133dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/28-1231dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/16-1237,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/01-0126,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/02-0127,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/35-1132dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/03-0337,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/04-0338,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/26-1131dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/44-1230dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/15-1235dk,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2021/04-0336,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/14-0532dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/19-0630dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/09-0837,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/10-0837dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/14-0838,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2014/38-1224,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/03-0325,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/13-0836,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2024/16-0939,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/30-1032dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/12-1125,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/16-1234dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/12-0432dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/12-0629,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/13-0639,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/19-0732dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/30-0825dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/31-0830dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/07-0850dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/06-0329,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/07-0339,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/11-0426dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/17-0530dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/12-0633,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/26-0932dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/15-0938,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/16-0938dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/15-1134,105.30,0.00,,,,,105.30,,0.00,
R. Makedonija - drzavna obvrznica DO2017/38-1232dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/04-0229,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/05-0239,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/10-0333dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/16-0632dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/15-0731dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/11-0834dk,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2024/15-0839,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/40-1030dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/02-0238,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/08-0332dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/13-0631dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/23-0725,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/24-0725dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/25-0730dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/17-0833dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/13-0937,,0.00,,,,,,,0.00,
